Block,Pool,Location,Time,Nutrient,Fish,Culex_Egg_Rafts,Hydrophilidae,Dytiscidae
1,1,1,a,0,1,1,9,6
1,2,1,a,8,1,22,6,4
1,4,1,a,8,2,40,5,8
1,5,1,a,8,0,70,21,15
1,6,1,a,4,2,0,10,14
1,7,1,a,0,0,28,15,16
1,8,1,a,4,0,35,8,10
1,9,1,a,4,1,3,7,7
2,1,2,a,8,0,66,6,12
2,2,2,a,0,1,0,3,3
2,3,2,a,0,0,27,5,14
2,4,2,a,0,2,0,2,2
2,5,2,a,8,1,6,4,14
2,6,2,a,4,0,16,6,5
2,7,2,a,4,1,3,2,9
2,8,2,a,4,2,1,3,1
2,9,2,a,8,2,1,2,9
3,1,3,a,0,0,6,6,24
3,2,3,a,8,1,0,5,16
3,3,3,a,4,2,0,6,6
3,5,3,a,0,2,6,10,10
3,6,3,a,4,1,39,13,14
3,7,3,a,0,1,1,8,10
3,8,3,a,8,0,114,8,16
3,9,3,a,4,0,69,5,11
4,1,1,b,4,1,0,8,7
4,2,1,b,4,0,0,11,9
4,3,1,b,8,2,0,20,14
4,4,1,b,0,1,0,16,27
4,6,1,b,8,0,7,49,45
4,7,1,b,8,1,0,22,22
4,8,1,b,0,0,0,19,26
4,9,1,b,0,2,1,7,15
5,2,2,b,8,1,0,3,21
5,3,2,b,4,0,1,3,14
5,4,2,b,0,1,0,5,1
5,5,2,b,0,2,0,5,0
5,6,2,b,4,1,0,4,7
5,7,2,b,8,0,10,6,11
5,8,2,b,0,0,1,7,17
5,9,2,b,4,2,0,1,1
6,1,3,b,0,1,1,7,11
6,2,3,b,8,0,7,14,36
6,3,3,b,4,0,0,8,30
6,5,3,b,4,1,0,2,11
6,6,3,b,4,2,0,7,11
6,7,3,b,0,2,0,1,3
6,8,3,b,8,1,0,24,22
6,9,3,b,0,0,0,9,12
7,1,3,c,8,0,4,4,37
7,2,3,c,4,2,0,2,22
7,4,3,c,0,2,0,2,16
7,5,3,c,0,1,0,10,14
7,8,3,c,4,0,0,4,45
7,9,3,c,0,0,0,7,44
8,2,3,c,0,2,0,0,16
8,3,3,c,4,0,0,2,41
8,5,3,c,0,1,0,0,9
8,6,3,c,4,2,0,2,26
8,7,3,c,8,0,27,8,43
8,8,3,c,0,0,0,4,45
9,1,3,c,8,1,7,2,25
9,2,3,c,8,0,8,0,46
9,4,3,c,4,2,0,1,1
9,5,3,c,0,0,0,2,33
9,6,3,c,0,2,0,1,20
9,7,3,c,0,1,0,3,8
9,8,3,c,4,0,6,6,34
9,9,3,c,4,1,0,0,22